task_id,event_id,start_time_ms,end_time_ms,category,sub_category,name,description,payload
7023,2,1784583062079,1784583223835,spark_execution,stage,Stage 0,"save at FormatSparkWriter.scala:28 - attempt=0, id=0, jobId=0, numTasks=664, partitions=664, shuffleOutput=HashPartitioning(ts), status=succeeded, tfId=1","{""id"":0,""tfId"":1,""jobId"":0,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":10429,""internal.metrics.resultSize"":3781336,""internal.metrics.executorCpuTime"":3034066794700,""internal.metrics.executorRunTime"":7122258,""internal.metrics.input.recordsRead"":815895525,""internal.metrics.peakExecutionMemory"":813342464912,""internal.metrics.executorDeserializeTime"":48109,""internal.metrics.resultSerializationTime"":52,""internal.metrics.shuffle.write.writeTime"":3343509222876,""internal.metrics.executorDeserializeCpuTime"":29219463800,""internal.metrics.shuffle.write.bytesWritten"":256302451852,""internal.metrics.shuffle.write.recordsWritten"":815895525},""numTasks"":664,""partitions"":664,""shuffleOutput"":""HashPartitioning(ts)"",""taskMetricsDistributions"":{""duration"":[3370.0,5406.0,7146.0,11598.0,64041.0],""jvmGcTime"":[0.0,3.0,8.0,12.0,357.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[3.0,4.0,5.0,6.0,83.0],""executorRunTime"":[3364.0,5401.0,7134.0,11340.0,62923.0],""peakExecutionMemory"":[620756848.0,956301088.0,1241513696.0,1442840240.0,2046819872.0],""executorDeserializeTime"":[1.0,1.0,2.0,2.0,9674.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,2.0],""inputMetrics_recordsRead"":[599547.0,950904.0,1207764.0,1482789.0,2059651.0],""shuffleWriteMetrics_writeBytes"":[152222016.0,313451959.0,387193214.0,459206049.0,540076658.0],""shuffleWriteMetrics_writeRecords"":[599547.0,950904.0,1207764.0,1482789.0,2059651.0]}}"
7023,3,1784583223966,1784583350619,spark_execution,stage,Stage 2,"save at FormatSparkWriter.scala:28 - attempt=0, id=2, jobId=1, numTasks=700, parentStages=(1), partitions=700, shuffleInputs=(HashPartitioning(ts)), status=succeeded, tfId=1","{""id"":2,""tfId"":1,""jobId"":1,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":10228,""internal.metrics.resultSize"":6996941,""internal.metrics.executorCpuTime"":5447118587600,""internal.metrics.executorRunTime"":6161458,""internal.metrics.output.bytesWritten"":63805083392,""internal.metrics.peakExecutionMemory"":830505557280,""internal.metrics.output.recordsWritten"":815895525,""internal.metrics.executorDeserializeTime"":20729,""internal.metrics.resultSerializationTime"":682,""internal.metrics.executorDeserializeCpuTime"":19628113400,""internal.metrics.shuffle.read.fetchWaitTime"":255674,""internal.metrics.shuffle.read.localBytesRead"":1715408991,""internal.metrics.shuffle.read.remoteBytesRead"":110026812333,""internal.metrics.shuffle.read.localBlocksFetched"":7,""internal.metrics.shuffle.read.remoteReqsDuration"":287054,""internal.metrics.shuffle.read.remoteBlocksFetched"":436,""internal.metrics.shuffle.read.remoteBytesReadToDisk"":90687529218},""numTasks"":700,""partitions"":700,""parentStages"":""(1)"",""shuffleInputs"":""(HashPartitioning(ts))"",""taskMetricsDistributions"":{""duration"":[3292.0,6393.0,8077.0,9846.0,34372.0],""jvmGcTime"":[0.0,11.0,14.0,17.0,196.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[3.0,4.0,4.0,5.0,53.0],""executorRunTime"":[3281.0,6382.0,8061.0,9829.0,34044.0],""peakExecutionMemory"":[570425216.0,973078304.0,1140850432.0,1409285824.0,1946156608.0],""executorDeserializeTime"":[6.0,8.0,9.0,11.0,479.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,237.0],""outputMetrics_bytesWritten"":[33130052.0,74377703.0,90231178.0,106364955.0,133219341.0],""outputMetrics_recordsWritten"":[566189.0,926339.0,1133152.0,1382640.0,2022030.0],""shuffleReadMetrics_readBytes"":[0.0,0.0,0.0,362753843.0,519678129.0]}}"
7023,5,1784583351729,1784583357318,spark_execution,stage,Stage 3,"$anonfun$recordDeltaOperationInternal$1 at DatabricksLogging.scala:128 - attempt=0, id=3, jobId=2, numTasks=60, partitions=60, shuffleOutput=HashPartitioning(coalesce(add_path_canonical, remove_path_canonical)), status=succeeded, tfId=2","{""id"":3,""tfId"":2,""jobId"":2,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":126272,""internal.metrics.executorCpuTime"":13842772400,""internal.metrics.executorRunTime"":22338,""internal.metrics.input.bytesRead"":266613411,""internal.metrics.input.recordsRead"":448801,""internal.metrics.executorDeserializeTime"":10488,""internal.metrics.shuffle.write.writeTime"":3088882318,""internal.metrics.executorDeserializeCpuTime"":5703541700,""internal.metrics.shuffle.write.bytesWritten"":301596907,""internal.metrics.shuffle.write.recordsWritten"":448801},""numTasks"":60,""partitions"":60,""shuffleOutput"":""HashPartitioning(coalesce(add_path_canonical, remove_path_canonical))"",""taskMetricsDistributions"":{""duration"":[149.0,349.0,416.0,460.0,5573.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[3.0,5.0,5.0,6.0,7.0],""executorRunTime"":[144.0,209.0,239.0,289.0,5447.0],""inputMetrics_bytesRead"":[19298.0,19298.0,19298.0,19298.0,133324491.0],""executorDeserializeTime"":[2.0,115.0,133.0,164.0,1313.0],""inputMetrics_recordsRead"":[0.0,0.0,0.0,0.0,232255.0],""shuffleWriteMetrics_writeBytes"":[0.0,0.0,0.0,0.0,155881420.0],""shuffleWriteMetrics_writeRecords"":[0.0,0.0,0.0,0.0,232255.0]}}"
7023,6,1784583357672,1784583359900,spark_execution,stage,Stage 5,"$anonfun$recordDeltaOperationInternal$1 at DatabricksLogging.scala:128 - attempt=0, id=5, jobId=3, numTasks=50, parentStages=(4), partitions=50, shuffleInputs=(HashPartitioning(coalesce(add_path_canonical, remove_path_canonical))), shuffleOutput=SinglePartition$, status=succeeded, tfId=3","{""id"":5,""tfId"":3,""jobId"":3,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":14,""internal.metrics.resultSize"":299498,""internal.metrics.executorCpuTime"":31806993000,""internal.metrics.executorRunTime"":34676,""internal.metrics.peakExecutionMemory"":3381656800,""internal.metrics.executorDeserializeTime"":8870,""internal.metrics.shuffle.write.writeTime"":140174232,""internal.metrics.shuffle.read.recordsRead"":448801,""internal.metrics.executorDeserializeCpuTime"":6529094900,""internal.metrics.shuffle.write.bytesWritten"":5800,""internal.metrics.shuffle.read.localBytesRead"":12099120,""internal.metrics.shuffle.read.remoteBytesRead"":289497787,""internal.metrics.shuffle.write.recordsWritten"":50,""internal.metrics.shuffle.read.localBlocksFetched"":11,""internal.metrics.shuffle.read.remoteReqsDuration"":2686,""internal.metrics.shuffle.read.remoteBlocksFetched"":504},""numTasks"":50,""partitions"":50,""parentStages"":""(4)"",""shuffleInputs"":""(HashPartitioning(coalesce(add_path_canonical, remove_path_canonical)))"",""shuffleOutput"":""SinglePartition$"",""taskMetricsDistributions"":{""duration"":[600.0,746.0,846.0,963.0,2200.0],""jvmGcTime"":[0.0,0.0,0.0,0.0,14.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[4.0,5.0,5.0,6.0,7.0],""executorRunTime"":[491.0,586.0,665.0,769.0,1779.0],""peakExecutionMemory"":[67633136.0,67633136.0,67633136.0,67633136.0,67633136.0],""executorDeserializeTime"":[95.0,122.0,147.0,187.0,503.0],""shuffleReadMetrics_readBytes"":[5833824.0,5998860.0,6041101.0,6081914.0,6124119.0],""shuffleReadMetrics_readRecords"":[8685.0,8926.0,9001.0,9048.0,9118.0],""shuffleWriteMetrics_writeBytes"":[102.0,102.0,102.0,102.0,802.0],""shuffleWriteMetrics_writeRecords"":[1.0,1.0,1.0,1.0,1.0]}}"
7023,7,1784583359923,1784583360116,spark_execution,stage,Stage 8,"$anonfun$recordDeltaOperationInternal$1 at DatabricksLogging.scala:128 - attempt=0, id=8, jobId=4, numTasks=1, parentStages=(7), partitions=1, shuffleInputs=(SinglePartition$), status=succeeded, tfId=3","{""id"":8,""tfId"":3,""jobId"":4,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":8047,""internal.metrics.executorCpuTime"":34702500,""internal.metrics.executorRunTime"":114,""internal.metrics.executorDeserializeTime"":69,""internal.metrics.resultSerializationTime"":1,""internal.metrics.shuffle.read.recordsRead"":50,""internal.metrics.executorDeserializeCpuTime"":65594500,""internal.metrics.shuffle.read.localBytesRead"":102,""internal.metrics.shuffle.read.remoteBytesRead"":5698,""internal.metrics.shuffle.read.localBlocksFetched"":1,""internal.metrics.shuffle.read.remoteReqsDuration"":114,""internal.metrics.shuffle.read.remoteBlocksFetched"":49},""numTasks"":1,""partitions"":1,""parentStages"":""(7)"",""shuffleInputs"":""(SinglePartition$)"",""taskMetricsDistributions"":{""duration"":[189.0,189.0,189.0,189.0,189.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[5.0,5.0,5.0,5.0,5.0],""executorRunTime"":[114.0,114.0,114.0,114.0,114.0],""executorDeserializeTime"":[69.0,69.0,69.0,69.0,69.0],""resultSerializationTime"":[1.0,1.0,1.0,1.0,1.0],""shuffleReadMetrics_readBytes"":[5800.0,5800.0,5800.0,5800.0,5800.0],""shuffleReadMetrics_readRecords"":[50.0,50.0,50.0,50.0,50.0]}}"
7023,8,1784583360648,1784583361151,spark_execution,stage,Stage 10,"$anonfun$recordDeltaOperationInternal$1 at DatabricksLogging.scala:128 - attempt=0, id=10, jobId=5, numTasks=50, parentStages=(9), partitions=50, shuffleInputs=(HashPartitioning(coalesce(add_path_canonical, remove_path_canonical))), shuffleOutput=SinglePartition$, status=succeeded, tfId=4","{""id"":10,""tfId"":4,""jobId"":5,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":12,""internal.metrics.resultSize"":250798,""internal.metrics.executorCpuTime"":3699060700,""internal.metrics.executorRunTime"":4161,""internal.metrics.input.bytesRead"":1179253793,""internal.metrics.input.recordsRead"":448791,""internal.metrics.executorDeserializeTime"":563,""internal.metrics.shuffle.write.writeTime"":765666347,""internal.metrics.executorDeserializeCpuTime"":411255900,""internal.metrics.shuffle.write.bytesWritten"":292809385,""internal.metrics.shuffle.write.recordsWritten"":448791},""numTasks"":50,""partitions"":50,""parentStages"":""(9)"",""shuffleInputs"":""(HashPartitioning(coalesce(add_path_canonical, remove_path_canonical)))"",""shuffleOutput"":""SinglePartition$"",""taskMetricsDistributions"":{""duration"":[68.0,78.0,92.0,105.0,497.0],""jvmGcTime"":[0.0,0.0,0.0,0.0,12.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[4.0,5.0,5.0,6.0,7.0],""executorRunTime"":[55.0,63.0,72.0,85.0,484.0],""inputMetrics_bytesRead"":[22819794.0,23452365.0,23645638.0,23767338.0,23960707.0],""executorDeserializeTime"":[8.0,10.0,11.0,13.0,19.0],""inputMetrics_recordsRead"":[8685.0,8926.0,9001.0,9047.0,9118.0],""shuffleWriteMetrics_writeBytes"":[5661987.0,5824554.0,5865700.0,5903801.0,5947154.0],""shuffleWriteMetrics_writeRecords"":[8685.0,8926.0,9001.0,9047.0,9118.0]}}"
7023,9,1784583361309,1784583369879,spark_execution,stage,Stage 13,"$anonfun$recordDeltaOperationInternal$1 at DatabricksLogging.scala:128 - attempt=0, id=13, jobId=6, numTasks=1, parentStages=(12), partitions=1, shuffleInputs=(SinglePartition$), status=succeeded, tfId=4","{""id"":13,""tfId"":4,""jobId"":6,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":17,""internal.metrics.resultSize"":4105,""internal.metrics.executorCpuTime"":7919432100,""internal.metrics.executorRunTime"":8490,""internal.metrics.executorDeserializeTime"":68,""internal.metrics.shuffle.read.recordsRead"":448791,""internal.metrics.executorDeserializeCpuTime"":63435800,""internal.metrics.shuffle.read.localBytesRead"":5915508,""internal.metrics.shuffle.read.remoteBytesRead"":286893877,""internal.metrics.shuffle.read.localBlocksFetched"":1,""internal.metrics.shuffle.read.remoteReqsDuration"":1435,""internal.metrics.shuffle.read.remoteBlocksFetched"":49},""numTasks"":1,""partitions"":1,""parentStages"":""(12)"",""shuffleInputs"":""(SinglePartition$)"",""taskMetricsDistributions"":{""duration"":[8563.0,8563.0,8563.0,8563.0,8563.0],""jvmGcTime"":[17.0,17.0,17.0,17.0,17.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[5.0,5.0,5.0,5.0,5.0],""executorRunTime"":[8490.0,8490.0,8490.0,8490.0,8490.0],""executorDeserializeTime"":[68.0,68.0,68.0,68.0,68.0],""shuffleReadMetrics_readBytes"":[292809385.0,292809385.0,292809385.0,292809385.0,292809385.0],""shuffleReadMetrics_readRecords"":[448791.0,448791.0,448791.0,448791.0,448791.0]}}"
7023,11,1784583371368,1784583374706,spark_execution,stage,Stage 14,"getHistory at DeltaTableOperations.scala:57 - attempt=0, id=14, jobId=7, numTasks=50, partitions=50, status=succeeded, tfId=7","{""id"":14,""tfId"":7,""jobId"":7,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":14,""internal.metrics.resultSize"":146583,""internal.metrics.executorCpuTime"":31935004600,""internal.metrics.executorRunTime"":69839,""internal.metrics.input.recordsRead"":875,""internal.metrics.executorDeserializeTime"":6688,""internal.metrics.resultSerializationTime"":17,""internal.metrics.executorDeserializeCpuTime"":5311252300},""numTasks"":50,""partitions"":50,""taskMetricsDistributions"":{""duration"":[1020.0,1211.0,1384.0,1632.0,3330.0],""jvmGcTime"":[0.0,0.0,0.0,0.0,14.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[4.0,5.0,6.0,6.0,10.0],""executorRunTime"":[919.0,1103.0,1243.0,1510.0,2989.0],""executorDeserializeTime"":[58.0,97.0,111.0,137.0,368.0],""resultSerializationTime"":[0.0,0.0,0.0,0.0,3.0],""inputMetrics_recordsRead"":[17.0,17.0,18.0,18.0,18.0]}}"
7023,12,1784583371479,1784583474011,spark_execution,stage,Stage 15,"save at FormatSparkWriter.scala:28 - attempt=0, id=15, jobId=8, numTasks=661, partitions=661, shuffleOutput=HashPartitioning(ts), status=succeeded, tfId=6","{""id"":15,""tfId"":6,""jobId"":8,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.jvmGCTime"":4988,""internal.metrics.resultSize"":3761472,""internal.metrics.executorCpuTime"":3019201007700,""internal.metrics.executorRunTime"":4859507,""internal.metrics.input.recordsRead"":801813254,""internal.metrics.peakExecutionMemory"":801799743024,""internal.metrics.executorDeserializeTime"":992,""internal.metrics.shuffle.write.writeTime"":1178315036625,""internal.metrics.executorDeserializeCpuTime"":1031980100,""internal.metrics.shuffle.write.bytesWritten"":255552640735,""internal.metrics.shuffle.write.recordsWritten"":801813254},""numTasks"":661,""partitions"":661,""shuffleOutput"":""HashPartitioning(ts)"",""taskMetricsDistributions"":{""duration"":[3092.0,5462.0,6877.0,8794.0,16065.0],""jvmGcTime"":[0.0,5.0,5.0,9.0,154.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,3.0,4.0,4.0,17.0],""executorRunTime"":[3088.0,5457.0,6873.0,8790.0,16061.0],""peakExecutionMemory"":[687865696.0,956301088.0,1174404848.0,1442840240.0,2147483152.0],""executorDeserializeTime"":[0.0,1.0,1.0,1.0,24.0],""inputMetrics_recordsRead"":[668540.0,941848.0,1194068.0,1436944.0,2216991.0],""shuffleWriteMetrics_writeBytes"":[158025790.0,310729171.0,386321044.0,460901729.0,540881868.0],""shuffleWriteMetrics_writeRecords"":[668540.0,941848.0,1194068.0,1436944.0,2216991.0]}}"
7023,13,1784583374827,1784583467737,spark_execution,stage,Stage 16,"count at DeltaUtils.scala:16 - attempt=0, id=16, jobId=9, numTasks=50, partitions=50, shuffleOutput=SinglePartition$, status=succeeded, tfId=8","{""id"":16,""tfId"":8,""jobId"":9,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":92874,""internal.metrics.executorCpuTime"":56688500,""internal.metrics.executorRunTime"":26,""internal.metrics.executorDeserializeTime"":16,""internal.metrics.shuffle.write.writeTime"":10445566,""internal.metrics.executorDeserializeCpuTime"":36976300,""internal.metrics.shuffle.write.bytesWritten"":2950,""internal.metrics.shuffle.write.recordsWritten"":50},""numTasks"":50,""partitions"":50,""shuffleOutput"":""SinglePartition$"",""taskMetricsDistributions"":{""duration"":[2.0,2.0,3.0,3.0,24.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[2.0,2.0,2.0,3.0,6.0],""executorRunTime"":[0.0,0.0,0.0,1.0,9.0],""executorDeserializeTime"":[0.0,0.0,0.0,0.0,9.0],""shuffleWriteMetrics_writeBytes"":[59.0,59.0,59.0,59.0,59.0],""shuffleWriteMetrics_writeRecords"":[1.0,1.0,1.0,1.0,1.0]}}"
7023,14,1784583467752,1784583467771,spark_execution,stage,Stage 18,"count at DeltaUtils.scala:16 - attempt=0, id=18, jobId=10, numTasks=1, parentStages=(17), partitions=1, shuffleInputs=(SinglePartition$), status=succeeded, tfId=8","{""id"":18,""tfId"":8,""jobId"":10,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":4084,""internal.metrics.executorCpuTime"":8941800,""internal.metrics.executorRunTime"":10,""internal.metrics.executorDeserializeTime"":4,""internal.metrics.shuffle.read.recordsRead"":50,""internal.metrics.executorDeserializeCpuTime"":2524400,""internal.metrics.shuffle.read.localBytesRead"":649,""internal.metrics.shuffle.read.remoteBytesRead"":2301,""internal.metrics.shuffle.read.localBlocksFetched"":11,""internal.metrics.shuffle.read.remoteReqsDuration"":5,""internal.metrics.shuffle.read.remoteBlocksFetched"":39},""numTasks"":1,""partitions"":1,""parentStages"":""(17)"",""shuffleInputs"":""(SinglePartition$)"",""taskMetricsDistributions"":{""duration"":[17.0,17.0,17.0,17.0,17.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[3.0,3.0,3.0,3.0,3.0],""executorRunTime"":[10.0,10.0,10.0,10.0,10.0],""executorDeserializeTime"":[4.0,4.0,4.0,4.0,4.0],""shuffleReadMetrics_readBytes"":[2950.0,2950.0,2950.0,2950.0,2950.0],""shuffleReadMetrics_readRecords"":[50.0,50.0,50.0,50.0,50.0]}}"
7023,16,1784583467837,1784583467931,spark_execution,stage,Stage 19,"first at DeltaUtils.scala:18 - attempt=0, id=19, jobId=11, numTasks=50, partitions=50, status=succeeded, tfId=9","{""id"":19,""tfId"":9,""jobId"":11,""status"":""succeeded"",""attempt"":0,""metrics"":{""internal.metrics.resultSize"":92972,""internal.metrics.executorCpuTime"":62275600,""internal.metrics.executorRunTime"":47,""internal.metrics.executorDeserializeTime"":192,""internal.metrics.executorDeserializeCpuTime"":203807800},""numTasks"":50,""partitions"":50,""taskMetricsDistributions"":{""duration"":[1.0,2.0,2.0,4.0,48.0],""quantiles"":[0.0,0.25,0.5,0.75,1.0],""schedulerDelay"":[1.0,2.0,2.0,3.0,7.0],""executorRunTime"":[0.0,0.0,0.0,0.0,9.0],""executorDeserializeTime"":[0.0,0.0,0.0,1.0,36.0]}}"
