metric_id,asset_name,asset_type,metric_group_type,metric_type,task_name,metric_value,asset_value,count_tests,count_open_alerts,count_breaking_alerts
540,polaris-bhv4-one-percent,task,environment,num_params,polaris-bhv4-one-percent,196,,,,
542,polaris-bhv4-one-percent,task,time,duration,polaris-bhv4-one-percent,108.347,,,,
543,polaris-bhv4-one-percent,task,resources,tasks_result_size_bytes,polaris-bhv4-one-percent,690993,,,,
544,polaris-bhv4-one-percent,task,resources,executors_used_vcore_time,polaris-bhv4-one-percent,381.033,,,,
545,polaris-bhv4-one-percent,task,resources,shuffle_bytes_written,polaris-bhv4-one-percent,5497379578,,,,
546,polaris-bhv4-one-percent,task,time,executors_shuffle_read_time,polaris-bhv4-one-percent,0.008,,,,
547,polaris-bhv4-one-percent,task,resources,num_spark_tasks,polaris-bhv4-one-percent,157,,,,
548,polaris-bhv4-one-percent,task,resources,shuffle_records_written,polaris-bhv4-one-percent,16433804,,,,
549,polaris-bhv4-one-percent,task,resources,disk_bytes_spilled,polaris-bhv4-one-percent,0,,,,
550,polaris-bhv4-one-percent,task,resources,output_bytes_written,polaris-bhv4-one-percent,1603805880,,,,
551,polaris-bhv4-one-percent,task,resources,num_spark_jobs,polaris-bhv4-one-percent,16,,,,
552,polaris-bhv4-one-percent,task,resources,num_spark_tasks_retries,polaris-bhv4-one-percent,0,,,,
